id,label,definition,quotation,comments,GOLD counterpart,GOLD URL,GOLD comments,ISOCAT counterpart,ISOCAT URL,ISOCAT comments
1,marker,A marker is an atomic bound form occurring on a single host root class or in second clause position that expresses some grammatical meaning related to its host or to the clause.,,,,,,,,
2,bound form,A bound form is a form that cannot occur on its own as a complete utterance.,noun,,,,,,,
3,host,A host is an expression with respect to which a bound form (a clitic or an affix) is positioned.,noun,,,,,,,
4,second (clause) position,"The second position of a clause is the position after the initial nominal, adverbial or verb form.",adjective,,,,,,,
8,grammatical meaning,,noun,,,,,,,
9,simplex item,,verb,,,,,,,
10,noun,"A noun is a simplex item that denotes a thing or a person, and by extension a simplex item that denotes something else but behaves like a noun in the strict sense with respect to grammatical coding and syntactic patterns. Complex items that behave like nouns can also be considered nouns.",noun,,Noun,http://linguistics-ontology.org/gold/2010/Noun,,,,
11,numeral classifier system,A numeral classifier system is a system of genifiers which occurs on numerals and possibly on other adnominal modifiers but not on predicates.,"Gil (2005): ""in many ... languages, nouns in construction with numerals may occur with an additional grammatical element even when such nouns are of high countability... Such elements are typically referred to as sortal numeral classifiers. This term makes reference to one of the most salient functions of such forms, which is to divide the inventory of count nouns into semantic classes, each of which is associated with a different classifier.""",,,,,,,
12,possessive classifier system,A possessive classifier system is a system of genifiers which occur on adpossessive modifiers but not anywhere else.,,,,,,,,
14,adpossessive modifier,,,,,,,,,
15,numeral,,,,,,,,,
16,gender system,A gender system (= a system of gender markers) is a system of genifiers which includes no more than 20 genifiers and whose genifiers are not restricted to occurring on numeral modifiers.,verb,,,,,,,
17,TAM marker,"marker of tense, aspect or mood",,,,,,,,
18,TAM,"tense, aspect and/or mood",,,,,,,,
19,nominal,,,,,,,,,
20,adverbial,,,,,,,,,
21,genifier system,"A genifier system is a system of grammatical markers which occur on nominal modifiers, predicates or anaphoric pronouns, and each of which expresses (i.e. normally reflects, but sometimes contributes) a broad property other than person and number of the controlling noun (i.e. for nominal modifiers: the modificatum, for predicates: an argument, for anaphoric pronouns: the antecedent).",,,,,,,,
22,adjective,,,,,,,,,
23,concord,,,,,,,,,
24,adnominal,,,,,,,,,
25,predicate,"[The predicate of a simple clause may be a verb form, a nominal, an adjective, or a locational expression.]",,,,,,,,
26,copula,,,,,,,,,
27,negative marker,,,= negator (probably replace by this term),,,,,,
28,affirmative clause,a clause lacking a negative marker with scope over the clause,,,,,,,,
29,scope,PRIMITIVE,,,,,,,,
30,definite or specific article,"A definite or specific article is an article that is used on nominals that are definite or specific, can be used in associative contexts, and has no spatial deictic meaning.",,,Definite Article,http://linguistics-ontology.org/gold/2010/DefiniteArticle,,definite article,http://www.isocat.org/rest/dc/1430,
32,indefinite article,An indefinite article is an article that very frequently accompanies indefinite nouns and that never accompanies definite nouns.,,,Indefinite Article,http://linguistics-ontology.org/gold/2010/IndefiniteArticle,,indefinite article,http://www.isocat.org/rest/dc/1308,
33,nominal conjunction,,,,,,,,,
34,comitative,,,,,,,,,
