feature_ID,feature name,feature description,meta_feature_id,collection_id,collection URL,collection numbers
1,Is the ditransitive R sometimes coded (flagged or indexed) like the monotransitive P?,,,4,,
13,Is sex a relevant category in the noun class/gender system?,,4,2,http://sails.clld.org/parameters/ARW2-5-02,GB051
14,Does the language have the same TAM marking in negated clauses?,,6,1,,
15,Gender agreement of adnominal adjectives: No adjective agrees with the noun,,7,1,,40-1
16,Gender agreement of adnominal adjectives: Only few adjectives agree with the noun,,8,1,,40-2
17,Gender agreement of adnominal adjectives: Many adjectives agree with the noun,,9,1,,40-3
18,Gender agreement of adnominal adjectives: All adjectives agree with the noun,,10,1,,40-4
19,Predicative adjectives: Verbal encoding,,11,3,,118A/1
20,Predicative adjectives: Nonverbal encoding,,12,3,,118A/2
21,Predicative adjectives: Mixed [encoding],,13,3,,118A/3
22,Predicative noun phrases: (V) Invariant copula,,14,1,,73/1
23,Predicative noun phrases: (V) Variable copula,,15,1,,73/3
24,Predicative noun phrases: (V) No copula,,16,1,,73/2
25,Zero copula for predicate nominals: Zero copula is impossible,,16,3,,120A/1
26,Is there an inclusive/exclusive distinction in personal pronouns? – no,"SAILS gives no information on what kinds of ""personal pronouns"" are intended, so it is assumed here that the deature is about independent personal pronouns.",1,2,http://sails.clld.org/parameters/NP7,NP7-1
27,Is there an inclusive/exclusive distinction in personal pronouns? (V) yes,,17,2,,
28,Inclusive/exclusive distinction in independent pronouns: No inclusive/exclusive,,1,3,,39A-3
29,Inclusive/exclusive distinction in independent pronouns: Inclusive/exclusive,,17,3,,39A-5
30,Inclusive/exclusive distinction in independent personal pronouns: No inclusive/exclusive distinction,,1,1,http://apics-online.info/parameters/15,15-1
31,Inclusive/exclusive distinction in independent personal pronouns: Inclusive and exclusive differentiated,,17,1,http://apics-online.info/parameters/15,15-2
32,Complementizer Clause (V: Yes),"The property Complementizer Clause has the value ""yes"" when there is at least one complementizer that precedes its clause. As with all word order properties, we restrict our attention to productive word order patterns.",2,5,http://sswl.railsplayground.net/browse/properties/455,C 01
33,Clause Complementizer (V: Yes),"The property Clause Complementizer has the value ""yes"" when there is at least one complementizer that follows its clause. As with all word order properties, we restrict our attention to productive word order patterns.",3,5,http://sswl.railsplayground.net/browse/properties/456,C 02
34,Distinct negation of location (V: Yes),Distinct Negation of Location is set to yes when the strategy used for the negation of predications of location differs from Standard Negation. ,19,5,http://sswl.railsplayground.net/browse/properties/488,Neg 14
35,Numeral classifiers: Absent,"Gil (2005): Gil (2005): ""in many ... languages, nouns in construction with numerals may occur with an additional grammatical element even when such nouns are of high countability... Such elements are typically referred to as sortal numeral classifiers. This term makes reference to one of the most salient functions of such forms, which is to divide the inventory of count nouns into semantic classes, each of which is associated with a different classifier.""",20,3,http://wals.info/feature/55A,55A-1
36,Number of genders: None,,21,3,http://wals.info/feature/30A,30A-1
37,The language has no numeral classifiers,,20,1,http://apics-online.info/parameters/36,36-1
38,Numeral classifiers: Optional,,22,3,http://wals.info/feature/55A,55A-2
39,Numeral Classifiers: Obligatory,,23,3,http://wals.info/feature/55A,55A-3
40,Position of pronominal possessive affixes: Possessive prefixes,,25,3,http://wals.info/feature/57A,57A-1
41,Position of pronominal possessive affixes: Possessive suffixes,,24,3,http://wals.info/feature/57A,57A-2
42,"Position of pronominal possessive affixes: Both possessive prefixes and possessive suffixes, with neither primary",,26,3,http://wals.info/feature/57A,57A-3
43,Position of pronominal possessive affixes: No possessive affixes,,27,3,http://wals.info/feature/57A,57A-4
44,Obligatory possessive inflection: Exists,,28,3,http://wals.info/feature/58A,58A-1
45,Obligatory possessive inflection: Absent,,29,3,http://wals.info/feature/58A,58A-2
46,Number of possessive nouns: None reported,,30,3,http://wals.info/feature/58B,58B-1
48,Number of possessive nouns: Two to four,"Bickel & Nichols (2005): ""The head noun 'chicken' is grammatically non-possessible, though as the example indicates its referent can be owned, showing that non-possessibility is a grammatical rather than a purely semantic property. The formally possessed generic noun 'pet' is a more or less conventional choice in this construction.  Such nouns will be called possessive nouns here. ... In most languages with possessive nouns, there is a small and closed set of nouns grammaticalized for such usage, and their semantics amounts to classification of possessive relations (so that possessive nouns are also referred to as possessive classifiers).""",31,3,http://wals.info/feature/58B,58B-3
49,Number of possessive nouns: Five or more,,32,3,http://wals.info/feature/58B,58B-4
50,Are there definite or specific articles?: 0 (no),,34,4,http://grambank.clld.org/parameters/GB020,20-0
51,Are there definite or specific articles?: 1 (yes),"An article is a marker that accompanies the noun and expresses notions such as (non-)specificity, (in)definiteness and information status (new or given status). Sometimes these notions of specificity, definiteness and information status are summed up in the term ""identifiability"". Articles cannot occur independently, though they might be homophonous with pronouns or numerals that can. A language does not necessarily have both a non-specific/indefinite and a specific/definite marker. These markers often stem from very different sources (numerals and demonstratives) and need not be similar in formal expression or position. Formal expression is irrelevant; articles can be free, bound, or marked by suprasegmental markers such as tone. Articles are different from demonstratives in that demonstratives occur in a paradigm where there are markers that have a clear spatial deictic function. As demonstratives can grammaticalize into definite or specific articles, they form a natural continuum making it hard to define discrete categories. Articles are more grammaticalized, i.e. are often obligatory in certain contexts that require definite or specific reference. Definite or specific articles can also grammaticalize from pronouns meaning 'a certain'. As articles necessarily accompany nouns, it is in these cases that it is necessary to investigate whether the marker can occur independently or not; if it can it is most likely a pronoun and not an article. Articles can be homophonous with pronouns and demonstratives, and also with classifiers.
Procedure

    Code 1 if there is a conventionalised way of marking definiteness or specificity without marking spatial location, and if there is evidence that the marker in question is different in form from the spatial deictic demonstratives (e.g. ‘the’ is different from ‘that’).

    If no such marker is given, write ‘Not mentioned’ in the comment and code 0 if other demonstratives have been covered, otherwise code ‘?’.
",33,4,http://grambank.clld.org/parameters/GB020,20-1
52,Definite article: Definite affix,,35,3,http://wals.info/feature/37A,37A-3
53,"Do indefinite nominals commonly have indefinite articles?- 1 (yes)
","In this question we need explicit support that indefinite NPs cannot occur without an indefinite/non-specific article. Personal names are excluded here, they do not suffice for a 'yes' (1). Indefinite articles can be homophonous with demonstratives, the numeral 'one' or classifiers.
Procedure

    Code 1 if indefinite NPs cannot occur without an indefinite/non-specific article.
    Ignore personal names.
    If there is an example of an indefinite NP occurring without an article, then give the page reference and code 0.
    If no such marker is given, write ‘Not mentioned’ in the comment and code 0 if other demonstratives have been covered.",36,4,http://grambank.clld.org/parameters/GB021,21-1
54,Are there prenominal articles?,,37,4,http://grambank.clld.org/parameters/GB022,22-1
55,Are there postnominal articles?,,38,4,http://grambank.clld.org/parameters/GB023,23-1
56,Can adnominal property words occur discontinuously?,"This means that a restrictively interpreted adjective is separated from the noun by some element that is not part of the nominal. For example, can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent (i.e. the ""Australian type""). NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here. This features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"").",39,4,http://grambank.clld.org/parameters/GB026,26-1
57,Marking of patient noun phrases: No marking of patient NPs,,40,1,http://apics-online.info/parameters/57,57-1
58,Marking of patient noun phrases: Only definite patient NPs are marked,,42,1,http://apics-online.info/parameters/57,57-2
59,Marking of patient noun phrases: Only animate patient NPs are marked,,43,1,http://apics-online.info/parameters/57,57-3
60,Marking of patient noun phrases: Only definite and animate patient NPs are marked,,44,1,http://apics-online.info/parameters/57,57-4
61,Marking of patient noun phrases: All patient NPs are marked,,41,1,http://apics-online.info/parameters/57,57-5
