id,name,feature_area
1,no clusivity distinction in independent personal pronouns,
2,complementizer may be preposed to the clause,
3,complementizer may be postposed to the clause,
4,sex is a relevant property in the nomifier system,
6,TAM marking in negated clauses identical to marking in affirmative clauses,
7,no gender concord of an adnominal adjective with the noun,
8,gender concord of few adnominal adjectives with the noun,
9,gender concord of many adnominal adjectives with the noun,
10,gender concord of all adnominal adjectives with the noun,
11,predicative adjectives behave like verbs,
12,predicative adjectives do not behave like verbs,
13,predicative adjectives behave like verbs in some but not all respects,
14,a clause with a predicative nominal has an invariant copula,
15,a clause with a predicative nominal has a variable copula,
16,a clause with a predicate nominal has no copula,
17,clusivity distinction in independent personal pronouns,
19,locational predicates have a non-standard negation,
20,no numeral classifiers,
21,no gender system,genifiers
22,optional numeral classifiers,genifiers
23,obligatory numeral classifiers,genifiers
24,affixal possessive indexes are suffixes,nominal markers
25,affixal possessive indexes are prefixes,nominal markers
26,affixal possessive indexes are prefixes or suffixes,nominal markers
27,no affixal possessive indexes,nominal markers
28,possidend nouns exist,nominal markers
29,possidend nouns do not exist,
30,no possessive classifiers,
31,2-4 possessive classifiers,
32,> 4 possessive classifiers,
33,a definite/specific article exists,
34,a definite/specific article does not exist,
35,an affixal definite/specific article exists,
36,an indefinite article exists,
37,an article exists that precedes the noun in a neutral order,
38,an article exists that follows the noun in a neutral order,
39,property words used as adnominal modifiers can occur discontinuously,property words
40,P-argument nominals are never flagged,
41,P-argument nominals are always flagged ,
42,P-argument nominals are flagged only if they are definite,
43,P-argument nominals are flagged only if they are animate,
44,P-argument nominals are flagged only if they are definite and animate,
45,standard negation is expressed by a particle that precedes the verb,
46,standard negation is expressed by a particle that follows the verb,
47,standard negation is expressed by a suffix on the verb,
48,standard negation is expressed by a prefix on the verb,
49,noun plus noun combinations can be formed productively to express general concepts,
50,adnominal adjectives obligatorily carry a flag,
51,articles carry a flag,
52,nouns obligatorily carry a flag,
54,a standard negative construction contains a clause-final negator,
55,a standard negative construction contains a clause-initial negator,
56,no gender distinction in independent personal pronouns,
57,independent personal pronouns coexpress 1st and 2nd person,
58,independent personal pronouns coexpress 2nd and 3rd person,
59,independent personal pronouns show no coexpression of different persons,
60,verb indexes exist neither for A nor for P,
61,verb indexes exist both for A and for P,
62,verb indexes exist only for A,
63,verb indexes exist only for P,
64,2nd-person independent pronouns have no politeness distinction,
65,2nd-person independent pronouns have a binary politeness distinction,
66,2nd-person independent pronouns have a multiple politeness distinction,
67,2nd-person forms are titles,
68,"Of interrogative pronouns who/when/where/how, all four are simple",
69,"Of who/when/where/how, one interrogative is a compound expression",
70,"Of who/when/where/how, two interrogatives are compound expressions",
71,"Of who/when/where/how, three interrogatives are compound expressions",
72,"Of the interrogatives who/when/where/how, all four are compound expressions",
73,Pronoun conjunction: Singular pronoun overtly conjoined with other conjunct,
74,Pronoun conjunction: Inclusory pronoun juxtaposed with subset NP,
75,Pronoun conjunction: Inclusory pronoun plus marker plus subset NP,
76,Pronoun conjunction: Inclusory pronoun plus numeral plus subset NP,
77,pronoun conjunction: singular pronoun juxtaposed with other conjunct,
78,an instrumental applicative marker exists,
79,an instrumental applicative marker does not exist,
80,the R-argument is at least partially aligned in coding with the P-argument,
81,the R-argument is not even partially aligned in coding with the P-argument,
82,there is a standard negator that is always contiguous with the verb,
83,there is no standard negator that is always contiguous with the verb,
84,there is a deictic directional marker on verbs,
85,there is no deictic directional marker on verbs,
86,there are verbs with strong root suppletion for core argument number,
87,there are no verbs with strong root suppletion for argument number,
88,a clause with a predicate nominal may have a copula,
89,a clause with a predicate nominal may not have a copula,
90,there are verbs with strong root suppletion for tense or aspect,
91,there are no verbs with strong root suppletion for tense or aspect,
92,there is a transitivizer on verbs,
93,there is no transitivizer on verbs,
94,there is a reflexive marker on verbs,
95,there is no reflexive marker on verbs,
96,there is a reciprocal marker on verbs,
97,there is no reciprocal marker on verbs,
98,there is a serial verb construction,
99,there is no serial verb construction,
100,dominant order of intransitive S and verb is S-V,
101,dominant order of intransitive S and verb is V-S,
102,there is no dominant order of intransitive S and verb,
103,dominant order in transitive clauses is A-V-P,
104,dominant order in transitive clauses is A-P-V,
105,dominant order in transitive clauses is V-A-P,
106,dominant order in transitive clauses is V-P-A,
108,dominant order in transitive clauses is P-V-A,
109,dominant order in transitive clauses is P-A-V,
110,there is no dominant order in transitive clauses,
111,nouns do not have a plural marker,
112,nouns with plural meaning always have an obligatory plural marker,
113,nouns with plural meaning have a plural marker under certain conditions but not always,
114,nouns with plural meaning have a plural marker only if they are animate,
