concept_id,meta_feature__id
17,6
22,
10,
22,7
23,7
10,7
24,7
10,
22,
24,10
24,8
24,9
23,10
23,8
23,9
22,10
22,8
22,9
10,10
10,8
10,9
25,11
25,13
25,12
22,11
22,13
22,12
25,15
25,14
25,16
26,15
26,14
26,16
19,15
19,14
19,16
27,6
56,17
56,1
35,17
35,1
54,3
54,2
60,19
61,19
11,
11,20
16,21
11,22
11,23
74,24
74,25
74,26
74,27
75,29
75,28
76,30
76,31
76,32
30,33
64,35
30,35
32,36
50,37
10,37
77,37
50,38
10,38
77,38
62,39
78,39
79,6
49,44
19,44
47,44
37,44
82,44
37,43
19,43
49,43
47,43
49,42
19,42
47,42
82,42
49,41
19,41
47,41
27,45
60,45
59,45
62,50
22,50
47,50
50,51
47,51
10,52
47,52
60,55
79,55
27,55
60,54
27,54
79,54
